user_id,tweet_id,botornot,DotcountREL,CommacountREL,ExclcountREL,WordcountREL,UppercasecountREL,LowercasecountREL,SpecialcharREL,NumbercountREL,CharcountREL,UniquewordsREL,QuotescountREL,OpenparREL,CloseparREL,OperatorcountREL,HashtagcountREL,DottycountREL,LinkcountREL
111856084,903884329151070208,0,0.8877332687597504,0.0,2.910913256274081,1.028822076551288,0.5648658055983418,1.0685977014847556,1.0327267456875344,0.9019731216623912,1.0,1.028822076551288,1.152721649484536,0.0,0.0,1.755859328993962,0.6436190114374852,0.0,2.2274814482792964
2218479924,904038307587350528,0,0.0,1.8583014791424293,2.566896235078053,1.4256534489353565,0.3984871501311938,1.1530885006093279,0.7705730333206988,0.0,1.0,1.4256534489353565,1.0164909090909091,0.0,0.0,0.0,1.1351098928988375,0.0,0.0
1009250894,903921359344074752,1,0.7900011657770257,0.0,0.0,1.3733358911762608,0.6032144933178623,1.1136170879910545,0.7776425106906135,0.0,1.0,1.3733358911762608,1.0258165137614679,0.0,0.0,0.0,1.718285617690901,0.0,0.0
1649800920,903913976018456576,0,1.5515338210756,3.683120048750761,0.0,1.0274979812146712,0.6910700576599532,1.0566906147209378,1.0413149098928363,0.39410537297861237,1.0,1.0274979812146712,1.0073333333333332,0.0,0.0,1.5343995938055344,0.5624418388237483,0.0,1.946537842190016
887964451701481472,903998019812683776,1,0.694436508626579,0.0,2.2770853698273053,1.0922344971682165,0.5302449981584434,1.0998936443550646,0.8078588252555713,0.7055757483971931,1.0,1.0922344971682165,0.9017258064516128,0.0,0.0,0.4578450400871352,1.5104284865186144,0.0,1.7424653264765464
883039428209496065,904078714065096707,1,0.0,0.0,13.445646945646944,0.9617503425357562,1.0436568217721742,0.9308941129684453,1.223131798921744,1.3887522666865386,1.0,0.9617503425357562,0.8874126984126983,0.0,0.0,1.3517329754953515,1.4864534311770492,0.0,0.0
244463294,904046313091846144,0,0.0,3.6179320832861457,0.0,1.3247222313116145,0.38790784526045413,1.0983362728232346,0.8864999498379721,0.0,1.0,1.3247222313116145,0.989504424778761,0.0,0.0,0.0,0.0,0.0,0.0
989593466,904098954186547200,0,2.3273007316134002,1.8415600243753805,0.0,1.220153852692422,1.1846915274170629,0.9706809135227219,0.9024729219071247,0.39410537297861237,1.0,1.220153852692422,1.0073333333333332,0.0,0.0,1.5343995938055344,0.5624418388237483,0.0,1.946537842190016
4072208781,903915152290058240,1,0.0,0.0,2.41332124665458,1.2185072213122705,0.5619690578773245,1.1074142846583472,0.7903313162263577,0.0,1.0,1.2185072213122705,0.9556752136752138,0.0,0.0,0.0,1.0671973352040354,0.0,0.0
4738947977,903972977447972865,1,0.9359796420619109,2.22188220332247,6.138230127360561,0.6198493256240679,0.9529040546615504,1.0377257427176048,1.3401270144707804,0.0,1.0,0.6198493256240679,1.2153695652173913,0.0,0.0,1.8512864664392858,1.3571966110746971,0.0,2.348540222642302
